Date,Type,DoW,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01,01 ~ 02
2016.1.31,on,Sun,619,673,489,698,978,1063,1358,1953,2553,2938,3188,4117,4423,4082,3627,3873,4810,4116,1795,0,0
2016.1.31,off,Sun,80,453,647,1450,2960,2448,2524,4003,4851,4185,3467,3782,4227,3514,2663,1853,1627,1104,684,6,0
2016.2.1,on,Mon,316,781,1786,3166,2438,2328,2958,3724,5329,4694,5414,6465,7753,13712,11352,8224,10344,9523,3646,666,0
2016.2.1,off,Mon,320,2511,8579,16129,14862,6207,4895,4619,5899,4869,4476,4226,5286,8029,6642,3026,1961,1560,884,341,0
2016.2.2,on,Tue,353,658,1966,3198,2418,2338,3198,3941,5237,4909,5480,6871,8319,13972,11080,8478,10783,10041,4115,833,0
2016.2.2,off,Tue,279,2442,8135,15744,15403,5855,5260,4765,6193,5288,4627,4603,5523,8493,7840,2914,2114,1630,1067,358,0
2016.2.3,on,Wed,329,676,1940,3227,2373,2257,3103,3904,5265,5062,5534,6602,8359,14254,11042,7964,10670,11268,4906,928,0
2016.2.3,off,Wed,265,2390,8510,15783,14605,6525,5047,4773,6628,5020,4582,4574,5471,9470,8260,3119,2123,1908,1060,421,15
2016.2.4,on,Thu,366,678,1950,3057,2380,2200,2961,3874,5454,4941,5622,6541,8052,14039,10727,8172,10418,11049,5313,1193,0
2016.2.4,off,Thu,269,2305,7885,15342,14820,5953,5186,4964,6031,4925,5150,4494,5587,9184,8642,3175,2317,1800,1329,469,0
2016.2.5,on,Fri,390,717,1856,3065,2331,2141,3210,4118,5570,5785,7348,9106,11060,13548,9132,7008,8600,9050,5166,1200,0
2016.2.5,off,Fri,268,2280,7509,15232,13668,6413,5048,4770,6124,5364,5229,5692,7490,9735,8308,3559,2371,2062,1341,568,1
2016.2.6,on,Sat,595,607,475,751,1082,1332,1769,2720,3348,3608,4000,4553,4787,4275,3527,3448,4276,5054,2330,0,0
2016.2.6,off,Sat,107,554,1074,2659,5288,4120,3670,4162,4922,4269,3829,3654,3961,4067,2642,2100,1707,1285,1105,2,0
2016.2.7,on,Sun,426,461,377,464,639,753,870,1138,1220,1467,1569,1666,2022,1979,1763,1730,2134,2070,922,0,0
2016.2.7,off,Sun,49,283,383,899,1705,1398,1422,1736,2134,1826,1677,1793,2022,1755,1252,983,753,666,407,1,0
2016.2.8,on,Mon,179,233,292,364,329,402,529,555,637,699,805,850,976,1010,959,1013,1331,1382,776,174,62
2016.2.8,off,Mon,37,207,281,329,503,533,749,883,967,1015,1157,1201,1389,1430,1232,999,837,745,543,148,58
2016.2.9,on,Tue,219,250,228,382,627,689,933,1244,1727,1651,2024,2541,2865,2790,2433,2529,3449,3815,2025,409,95
2016.2.9,off,Tue,65,554,709,1096,2413,1657,1784,2566,2901,2535,2736,2854,3396,3337,2401,1765,1513,1295,860,240,55
2016.2.10,on,Wed,355,389,371,662,939,1082,1589,2010,2830,2916,3424,4040,4537,4766,4278,4352,5214,5604,2192,0,0
2016.2.10,off,Wed,85,825,1560,2771,4822,3161,3171,3966,4807,4091,3877,3673,4041,4228,2959,1919,1410,1055,705,4,0
2016.2.11,on,Thu,297,691,2007,2818,2181,1976,2790,3584,5058,4622,5297,6389,7944,13534,11134,8037,10007,9465,4156,783,0
2016.2.11,off,Thu,291,2210,7542,15332,13169,5758,5294,4960,6057,5204,4471,4813,5453,8541,6944,2938,2094,1594,1043,382,0
