Seq,Chest,Height,Waist,Head,Foot,Weight
30153,96.200,177.600,88.400,58.700,27.100,70.400
30154,96.300,169.700,85.000,58.400,27.800,66.400
30155,94.400,167.200,86.700,58.900,24.600,73.900
30156,95.300,183.900,96.200,57.800,29.500,73.200
30157,91.300,180.100,78.500,58.900,26.900,65.500
30158,81.200,161.000,68.300,54.800,23.700,45.800
30159,83.300,178.000,70.300,59.500,26.700,55.800
30160,96.000,177.500,83.100,58.300,27.300,73.500
30161,94.500,171.100,86.600,57.800,24.700,73.500
30162,101.300,170.400,88.700,58.600,26.800,72.200
30163,91.800,172.100,90.400,55.800,27.300,73.600
30164,98.100,175.000,88.900,58.500,25.000,81.800
30165,102.800,186.100,96.500,60.700,28.300,90.500
30166,100.400,179.200,85.800,57.900,26.700,75.600
30167,88.600,159.900,78.800,60.400,24.600,58.600
30168,121.100,169.000,111.900,59.400,24.000,103.900
30169,89.000,179.000,75.000,56.900,28.000,50.800
30170,96.300,178.600,86.300,59.400,25.800,80.500
30171,82.400,163.500,74.300,57.500,24.900,50.900
30172,104.300,163.000,99.400,59.400,23.900,82.000
30173,109.600,176.700,101.400,61.800,27.500,94.700
30174,107.500,179.400,91.200,57.700,27.900,90.000
30175,102.900,179.100,95.300,58.400,27.400,77.000
30176,94.000,176.100,80.300,56.600,24.800,67.000
30177,96.900,178.900,90.100,58.100,28.000,74.500
30178,110.600,179.400,99.800,60.500,27.600,90.100
30179,101.000,178.000,92.200,59.700,27.800,81.900
30180,99.000,177.100,86.200,57.300,26.900,75.800
30181,92.700,171.700,84.300,61.400,25.700,68.300
30182,93.500,175.100,94.800,57.100,27.600,77.200
30183,99.200,170.900,93.600,57.400,26.100,76.900
30184,110.900,169.100,102.600,55.800,26.400,87.400
30185,84.400,167.100,69.500,54.600,24.300,51.800
30186,104.300,177.700,90.500,59.300,27.900,80.000
30187,99.900,184.400,87.800,59.300,27.100,79.900
30188,95.600,168.600,84.500,60.000,23.600,66.500
30189,101.900,179.900,94.400,57.500,29.100,87.200
30190,91.400,176.100,76.400,59.500,25.800,56.300
30191,89.700,180.800,75.200,57.100,27.200,58.700
30192,99.200,185.400,93.800,55.200,26.800,90.500
30193,82.800,173.500,66.900,57.600,26.300,49.600
30194,89.300,174.700,78.800,56.300,25.300,61.500
30195,97.900,167.800,96.700,57.400,25.100,85.000
30196,83.600,164.800,74.000,56.000,25.400,48.500
30197,88.500,173.300,85.300,60.100,26.600,71.400
30198,95.300,174.200,79.100,58.700,25.200,62.900
30199,94.400,177.700,85.800,56.200,27.600,71.000
30200,92.600,174.400,82.700,56.500,26.300,65.600
30201,90.400,173.800,84.200,56.000,25.500,59.300
30202,94.600,170.200,86.400,54.300,25.600,66.300
30203,100.200,173.200,95.700,60.900,26.600,83.700
30204,91.100,174.800,81.400,55.200,24.600,65.700
30205,103.300,174.100,99.700,62.000,26.500,80.600
30206,91.300,180.500,81.700,57.000,28.500,70.800
30207,83.900,170.600,74.600,58.700,25.100,60.600
30208,94.400,172.000,76.300,58.300,27.200,65.600
30209,96.700,174.800,90.000,56.100,26.500,73.000
30210,95.800,168.100,90.800,57.900,25.500,68.100
30211,86.700,167.300,77.300,58.900,25.800,60.600
30212,83.700,174.400,72.000,59.200,27.300,56.300
30213,95.300,175.100,87.400,59.500,27.600,71.200
30214,114.400,176.700,109.900,60.700,28.200,93.400
30215,89.200,176.300,82.900,58.200,26.100,72.200
30216,114.100,179.100,102.500,60.400,27.300,96.500
30217,100.700,176.300,88.200,57.900,26.900,74.000
30218,84.600,176.800,76.700,55.300,26.100,60.300
30219,89.600,171.500,85.000,56.200,26.400,70.700
30220,99.300,174.700,87.000,57.300,26.700,78.200
30221,91.100,170.800,77.900,60.200,26.900,62.700
30222,96.600,174.800,81.300,58.700,26.600,67.000
30223,100.400,175.100,88.300,58.300,26.000,69.100
30224,98.100,180.800,96.400,57.600,27.800,85.400
30225,84.200,164.000,69.800,56.800,24.600,51.300
30226,105.700,181.700,101.400,59.400,28.100,98.500
30227,107.000,179.300,93.400,60.000,28.100,88.600
30228,107.000,184.100,93.800,59.700,29.000,89.600
30229,95.800,172.600,84.500,60.200,26.500,61.000
30230,87.200,173.000,77.700,56.800,25.300,59.400
30231,92.700,168.700,85.100,58.500,27.100,68.100
30232,99.600,174.300,88.900,58.800,27.900,75.700
30233,101.600,170.900,91.600,60.700,27.000,80.600
30234,97.700,171.200,85.200,59.300,26.500,69.400
30235,97.500,176.900,105.200,57.700,27.200,81.400
30236,103.100,174.600,91.500,58.800,26.400,87.800
30237,101.600,175.800,99.000,60.600,28.700,83.400
30238,114.200,174.900,108.000,59.800,27.700,100.200
30239,97.900,167.000,88.200,59.300,24.900,71.300
30240,92.500,176.700,83.700,58.300,25.900,65.800
30241,99.500,168.300,94.100,59.000,25.800,77.800
30242,110.300,175.700,101.100,58.400,25.700,91.800
30243,111.700,173.500,91.700,56.000,26.800,91.200
30244,93.700,167.100,123.900,58.000,26.400,69.200
30245,100.800,178.800,91.000,57.400,29.200,80.000
30246,86.800,164.100,78.500,55.800,24.900,56.400
30247,90.900,171.400,82.600,57.800,26.800,65.300
30248,83.700,170.100,69.600,54.800,26.200,49.500
30249,99.600,171.500,99.500,59.700,24.800,75.000
30250,90.200,164.900,81.500,58.000,25.700,58.100
30251,86.000,176.900,73.200,58.400,27.200,58.500
30252,121.000,177.500,106.500,61.900,28.400,109.700
30253,113.100,169.600,104.800,60.000,26.900,86.000
30254,93.600,172.100,82.500,56.000,26.000,72.400
30255,92.100,167.500,81.300,58.500,25.500,64.200
30256,101.700,175.600,94.900,58.600,26.900,77.600
30257,109.100,174.300,102.700,60.800,26.100,83.600
30258,100.400,178.300,86.600,57.300,28.400,80.800
30259,92.000,167.700,77.700,55.300,24.400,65.500
30260,119.500,182.700,110.700,60.100,27.400,107.600
30261,81.900,169.000,76.100,55.000,25.800,58.200
30262,104.700,168.600,97.300,58.700,25.600,82.100
30263,82.000,170.400,68.500,59.800,27.400,52.800
30264,90.700,174.200,75.800,55.000,26.400,56.400
30265,95.200,173.300,84.400,60.700,26.300,69.900
30266,99.900,182.100,85.800,58.600,28.100,77.500
30267,99.100,169.700,94.800,60.200,24.600,81.900
30268,89.800,178.900,71.300,58.600,27.200,66.700
30269,94.400,182.000,80.000,57.600,28.400,63.200
30270,104.400,186.200,101.700,56.800,27.500,91.200
30271,95.200,179.400,88.500,60.300,25.800,71.200
30272,90.100,179.200,84.300,57.500,28.300,71.400
30273,89.600,172.000,86.100,58.700,27.000,58.800
30274,100.500,176.100,88.800,59.900,25.500,75.700
30275,90.800,179.300,87.700,57.800,28.300,74.600
30276,89.600,170.700,88.300,57.100,28.000,60.800
30277,85.200,180.000,82.600,61.000,27.900,63.200
30278,91.100,172.800,77.500,57.300,26.500,63.700
30279,98.800,178.400,97.100,55.600,27.400,82.000
30280,96.200,181.000,76.600,58.300,28.100,65.100
30281,91.400,170.000,76.300,59.600,26.300,60.300
30282,109.200,180.000,104.000,60.000,28.400,95.100
30283,99.700,179.200,89.100,59.800,25.900,74.100
30284,113.300,185.000,99.100,59.300,27.100,102.900
30285,93.600,171.900,71.100,61.100,26.900,58.200
30286,108.900,177.300,96.800,59.300,29.100,90.900
30287,90.000,166.100,85.500,57.500,24.800,70.500
30288,95.100,182.200,86.800,58.400,28.400,67.500
30289,102.100,175.100,93.200,58.400,27.600,71.600
30290,95.100,182.000,87.500,57.600,26.700,75.200
30291,86.200,173.900,74.000,60.400,25.000,52.900
30292,94.200,178.800,86.600,58.900,27.400,72.100
30293,87.300,174.500,76.700,56.900,26.400,64.700
30294,109.900,177.600,103.400,60.400,27.100,97.700
30295,95.000,174.000,72.200,58.600,26.100,57.000
30296,88.700,176.500,84.600,56.900,26.700,66.400
30297,103.400,166.300,106.600,60.500,25.800,85.300
30298,87.600,176.900,89.300,55.400,27.600,62.600
30299,95.400,178.000,88.800,59.900,27.000,73.600
30300,114.000,183.800,96.400,61.200,29.300,106.800
30301,103.100,167.700,89.600,56.800,27.200,75.900
30302,111.900,166.400,107.200,56.800,25.000,87.700
30303,105.500,173.500,104.400,60.300,28.200,86.100
30304,93.700,168.700,76.200,56.600,26.000,58.500
30305,82.600,176.800,73.400,59.800,26.300,52.600
30306,102.600,170.900,94.600,58.800,27.600,79.300
30307,100.800,173.400,90.800,59.100,26.800,72.400
30308,90.300,185.200,76.700,56.500,27.300,63.900
30309,87.700,189.500,77.000,60.900,29.500,65.700
30310,78.400,161.200,74.900,54.000,22.400,43.400
30311,102.300,174.300,90.700,58.800,27.500,77.400
30312,100.000,173.800,92.200,58.600,27.300,75.100
30313,100.800,169.100,91.400,59.000,30.500,81.000
30314,103.100,167.800,88.800,57.700,25.100,74.500
30315,90.200,185.000,75.000,58.600,28.100,72.000
30316,99.500,173.100,95.900,60.000,27.200,83.200
30317,117.000,178.300,92.600,58.200,28.400,77.500
30318,101.900,178.800,95.700,55.900,27.600,84.500
30319,103.900,174.400,97.700,56.500,26.300,80.700
30320,88.800,167.900,78.000,55.600,24.800,56.500
30321,96.500,183.500,96.400,62.400,29.100,77.600
30322,90.100,170.600,74.500,57.200,25.200,57.000
30323,97.400,175.100,89.500,59.300,27.900,75.800
30324,105.600,177.800,95.300,58.300,27.300,85.600
30325,104.900,177.600,94.500,60.500,25.600,87.200
30326,83.100,162.900,69.300,53.200,24.800,51.600
30327,93.500,178.400,87.900,56.800,26.800,70.800
30328,86.900,175.700,83.000,55.500,26.800,59.700
